State,2010,2011, 2012,2013,2014
Arizona,6407172,6472643.0,6554978.0,6632764.0,6730413.0
Florida,18845537,19053237.0,19297822.0,19545621.0,19845911.0
Illinois,12840503,12867454.0,12882510.0,12895129.0,12884493.0
Iowa,3050745,3066336.0,3076190.0,3092997.0,3109350.0
Kentucky,4348181,4369821.0,4386346.0,4404659.0,4414349.0
Maryland,5788645,5839419.0,5886992.0,5923188.0,5957283.0
Minnesota,5310828,5346143.0,5376643.0,5413479.0,5451079.0
Nebraska,1829542,1840672.0,1853303.0,1865279.0,1879321.0
North Carolina,9574323,9657592.0,9749476.0,9843336.0,9932887.0
South Carolina,4635649,4671994.0,4717354.0,4764080.0,4823617.0
Tennessee,6355311,6399291.0,6453898.0,6494340.0,6541223.0
Vermont,625879,627049.0,626090.0,626210.0,625214.0
